English,Telugu
"The following film is a work of fiction created for entertainment purposes. 
Any resemblance to real persons, living or dead, is purely coincidental. 
The events, characters, and organizations depicted in this movie are products of the writers' imaginations 
and are not intended to represent or depict real individuals, events, or entities. 
Any unauthorized copying, reproduction, distribution, or public performance is strictly prohibited 
and may be subject to legal action (we'll definitely try) .
Thank you for watching DuaL Identity. 
We hope you enjoy the show.","కింది చిత్రం వినోద ప్రయోజనాల కోసం సృష్టించబడిన కల్పన యొక్క పని.
నిజమైన వ్యక్తులతో, జీవించడం లేదా చనిపోయిన, ఏదైనా పోలిక పూర్తిగా యాదృచ్చికం.
ఈ చిత్రంలో చిత్రీకరించిన సంఘటనలు, పాత్రలు మరియు సంస్థలు రచయితల gin హల ఉత్పత్తులు
మరియు నిజమైన వ్యక్తులు, సంఘటనలు లేదా ఎంటిటీలను సూచించడానికి లేదా వర్ణించటానికి ఉద్దేశించినవి కావు.
ఏదైనా అనధికార కాపీ, పునరుత్పత్తి, పంపిణీ లేదా ప్రజా పనితీరు ఖచ్చితంగా నిషేధించబడింది
మరియు చట్టపరమైన చర్యకు లోబడి ఉండవచ్చు (మేము ఖచ్చితంగా ప్రయత్నిస్తాము).
ద్వంద్వ గుర్తింపు చూసినందుకు ధన్యవాదాలు.
మీరు ప్రదర్శనను ఆనందిస్తారని మేము ఆశిస్తున్నాము."
 ,  
Freeze!!!!!,ఫ్రీజ్ !!!!!
 ,  
"Dr. Roy : I've been reviewing the progress on our AI robot project,
 and I must say, it's quite impressive.","డాక్టర్ రాయ్: నేను మా AI రోబోట్ ప్రాజెక్ట్‌లో పురోగతిని సమీక్షిస్తున్నాను,
 మరియు నేను చెప్పాలి, ఇది చాలా బాగుంది."
"Dr. Aniket: Yes but we are still missing something- 
(Someone Enters)","డాక్టర్ అనికెట్: అవును కాని మేము ఇంకా ఏదో కోల్పోతున్నాము-
(ఎవరైనా ప్రవేశిస్తారు)"
"Special Agent Nidhi: Hello Dr. Roy, we are from the FBI.
 I'm Special Agent Nidhi, this is my partner Special Agent Uday. 
We are here to ask a few questions","స్పెషల్ ఏజెంట్ నిధి: హలో డాక్టర్ రాయ్, మేము ఎఫ్‌బిఐకి చెందినవారు.
 నేను స్పెషల్ ఏజెంట్ నిధి, ఇది నా భాగస్వామి స్పెషల్ ఏజెంట్ ఉదయ్.
మేము కొన్ని ప్రశ్నలు అడగడానికి ఇక్కడ ఉన్నాము"
"Special Agent Uday: We are here to ask about your latest project
 and due to some security threat we need a little more information
 about it. Can you explain in detail?","స్పెషల్ ఏజెంట్ ఉదయ్: మీ తాజా ప్రాజెక్ట్ గురించి అడగడానికి మేము ఇక్కడ ఉన్నాము
 మరియు కొంత భద్రతా ముప్పు కారణంగా మాకు కొంచెం ఎక్కువ సమాచారం అవసరం
 దాని గురించి. మీరు వివరంగా వివరించగలరా?"
"Dr. Roy : Let me introduce you to DUAL, it is the AI model we are 
working on. It is a full functional robot and which has a highly intelligent AI.","డాక్టర్ రాయ్: నన్ను డ్యూయల్ కి పరిచయం చేద్దాం, ఇది మేము AI మోడల్
పనిచేస్తోంది. ఇది పూర్తి ఫంక్షనల్ రోబోట్ మరియు ఇది చాలా తెలివైన AI ని కలిగి ఉంది."
"Special Agent Uday: Highly Intelligent ??? How powerful is this machine?
Dr. Aniket: It can do everything a human can do but 100 times faster
 and with 100% accuracy","స్పెషల్ ఏజెంట్ ఉదయ్: అత్యంత తెలివైన ??? ఈ యంత్రం ఎంత శక్తివంతమైనది?
డాక్టర్ అనికెట్: ఇది మానవుడు చేయగలిగే ప్రతిదాన్ని చేయగలదు కాని 100 రెట్లు వేగంగా చేస్తుంది
 మరియు 100% ఖచ్చితత్వంతో"
"Dr. Roy: It can work in any field and replace humans work as a doctor 
doing any surgery or we it can go to mars as well. If you guys are willing
 to send it ofc !!! HAHAHA!","డాక్టర్ రాయ్: ఇది ఏ రంగంలోనైనా పని చేయవచ్చు మరియు మానవులను వైద్యుడిగా భర్తీ చేయవచ్చు
ఏదైనా శస్త్రచికిత్స చేయడం లేదా మేము మార్స్‌కు కూడా వెళ్ళవచ్చు. మీరు అబ్బాయిలు సిద్ధంగా ఉంటే
 OFC పంపడానికి !!! హహాహా!"
Special Agent Nidhi: But is it a threat ?? ,స్పెషల్ ఏజెంట్ నిధి: అయితే ఇది ముప్పు ??
"Dr. Roy: I can bet my life its the sweetest looking smartest robot
 but it won't harm anyone. For sure","డాక్టర్ రాయ్: నేను నా జీవితాన్ని మధురమైన తెలివైన రోబోట్ పందెం వేయగలను
 కానీ అది ఎవరికీ హాని కలిగించదు. ఖచ్చితంగా"
Special Agent Uday: May I ask why dua lipa??,స్పెషల్ ఏజెంట్ ఉదయ్: డువా లిపా ఎందుకు అని నేను అడగవచ్చా ??
"Dr. Roy: Because it is ""DUA LIPA""!","డాక్టర్ రాయ్: ఎందుకంటే ఇది ""దువా లిపా""!"
"Dr. Aniket: So Dr. it is missing something.
Dr. Roy: Like what?","డాక్టర్ అనికెట్: కాబట్టి డాక్టర్ అది ఏదో లేదు.
డాక్టర్ రాయ్: ఏమి ఇష్టం?"
"Dr. Aniket: Its emotional intelligence?? We haven't worked 
on that part of the code, right ??","డాక్టర్ అనికెట్: దాని భావోద్వేగ మేధస్సు ?? మేము పని చేయలేదు
కోడ్ యొక్క ఆ భాగంలో, సరియైనదా ??"
"Dr. Roy:  and we don't need to work on that code. There is a 
distinctive line between humans and robots, our ability to feel is something 
unique and no machine should match this.","డాక్టర్ రాయ్: మరియు మేము ఆ కోడ్‌లో పని చేయవలసిన అవసరం లేదు. అక్కడ ఒక
మానవులు మరియు రోబోట్ల మధ్య విలక్షణమైన పంక్తి, మన అనుభూతిని పొందే సామర్థ్యం ఏదో
ప్రత్యేకమైన మరియు ఏ యంత్రం దీనికి సరిపోలలేదు."
