Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
Litys9KoVu0,Liza Koshy Loves Spreading Joy at Christmas,Architectural Digest,Entertainment,24,2023-12-27,17:00:15,145,2513,10,43
E6N2NZdjkLQ,Pro Designer Creates a Modern Living Room Perfect For Hosting | Re:Design | Architectural Digest,Architectural Digest,Entertainment,24,2023-12-27,17:00:11,539,7615,25,363
E76CPgdaPp8,Liza Koshy's Festive Wake Up Call,Architectural Digest,Entertainment,24,2023-12-25,17:00:08,1335,36237,16,18
Jzqu48uup54,Inside The White House With President Joe Biden,Architectural Digest,Howto & Style,26,2023-12-22,17:00:18,0,463443,2328,495
OGCOz2MxhmU,How The Rockefeller Christmas Tree Tradition Started,Architectural Digest,Entertainment,24,2023-12-22,17:00:16,631,14150,2,30
pb_hVUuo5M4,Kathy Hilton's Christmas Crafting Is No Joke 🎄,Architectural Digest,Entertainment,24,2023-12-20,17:00:23,488,20792,10,34
8eA8ioV7lk4,3 Interior Designers Transform The Same Dated 90s Living Room | Space Savers | Architectural Digest,Architectural Digest,Entertainment,24,2023-12-20,17:00:15,3374,268478,371,1320
Li8ubUzLB90,Inside Jesse Tyler Ferguson & Justin Mikita’s Delightful L.A. Home | Architectural Digest,Architectural Digest,Entertainment,24,2023-12-19,17:00:24,7661,362548,177,929
omiG4dTUI2U,What Should Kris Jenner Name Her Christmas Reindeer?,Architectural Digest,Entertainment,24,2023-12-18,17:00:12,749,37968,32,59
QAD6ecnAIQw,Liza Koshy's Kitchen Is Seriously Cute,Architectural Digest,Entertainment,24,2023-12-15,17:00:14,883,29234,8,20
UM7Wg2A9STk,Inside Liza Koshy's Home as She Preps For The Holidays | Architectural Digest,Architectural Digest,Entertainment,24,2023-12-14,17:00:19,4463,132112,133,783
_3PDvMTuxc4,Architect Breaks Down 200 Years of NYC Mansions | Walking Tour | Architectural Digest,Architectural Digest,Entertainment,24,2023-12-13,17:00:27,6112,193663,219,854
hsDWOhg_Ifw,Kathy Hilton's Christmas Ornaments Have Got Style,Architectural Digest,Entertainment,24,2023-12-13,17:00:09,675,27006,16,23
AkTkUOOCZ-w,Inside Ray Romano’s Cozy Desert Hideaway | Open Door | Architectural Digest,Architectural Digest,Entertainment,24,2023-12-12,17:00:26,13762,1093115,564,766
yqut0P9O4p8,Kathy Hilton's Christmas Tree Hack,Architectural Digest,Entertainment,24,2023-12-11,17:00:04,3301,119132,134,26
lhI44e17Ovw,A Bitesize History Of Radio City Music Hall,Architectural Digest,Entertainment,24,2023-12-08,17:00:16,630,17179,1,56
uZ0p2LhIA1U,The Rockefeller Center Ice Rink Was Meant To Be Temporary,Architectural Digest,Entertainment,24,2023-12-07,17:00:21,607,16479,2,33
dM59ito91Ns,Kris Jenner's Christmas Tree is Kandyland Chic,Architectural Digest,Entertainment,24,2023-12-06,17:00:17,3718,109975,162,58
wbMX7NRrDSs,Inside a Minimalist Capsule Home Overlooking the British Coastline | Architectural Digest,Architectural Digest,Entertainment,24,2023-12-05,17:00:14,3568,195146,141,778
5ezT-w8x3qk,Rockefeller Center: The Heart Of New York,Architectural Digest,Entertainment,24,2023-12-01,17:00:14,1077,27795,10,26
PGp2MlmqUhk,Tan France Builds His Dream Home,Architectural Digest,Entertainment,24,2023-11-30,17:00:07,1129,29679,15,31
x8FA1FrcveI,Bossman Kevin Hart,Architectural Digest,Entertainment,24,2023-11-29,17:00:12,906,23153,15,25
eOfOrQJWeP0,Inside Kevin Hart’s Stylish Hollywood Office | Open Door | Architectural Digest,Architectural Digest,Entertainment,24,2023-11-28,17:00:16,19191,1095710,402,676
a1Kb2F348Ro,Nothing Says Googie Like The Las Vegas Sign,Architectural Digest,Entertainment,24,2023-11-27,17:00:05,692,17415,9,56
Wl8KYYS0EkY,How The Hell Gate Bridge Got Its Name,Architectural Digest,Entertainment,24,2023-11-24,17:00:10,590,17064,3,39
SjcVGU8FnlI,A Fireplace Is The Most Unlikely Part of Beauty and the Beast?,Architectural Digest,Entertainment,24,2023-11-22,17:00:12,814,20530,3,42
_BZgyQlQLuI,Pro Designer Fixes 2 Bathrooms in Need of Renovation (Budget vs. Expensive) | Architectural Digest,Architectural Digest,Entertainment,24,2023-11-21,17:00:32,1791,84091,90,452
SLoSWV6N5NA,Inside The Process of Naming the Top 100 Designers of 2023 | Architectural Digest,Architectural Digest,Entertainment,24,2023-11-20,17:00:26,781,26201,25,1587
MbKaXt9LH8o,The George Washington Bridge Was Meant To Look Totally Different,Architectural Digest,Entertainment,24,2023-11-20,17:00:06,706,14118,2,57
dmZrfjzckTI,The Baroque Inspiration Behind Beauty and the Beast,Architectural Digest,Entertainment,24,2023-11-17,17:00:27,861,17078,4,41
Gs2wusSivLU,The First Ever Drive-Thru's Looked Like Spaceships,Architectural Digest,Entertainment,24,2023-11-15,17:00:22,504,12428,1,36
2AVymQ-SU3A,How Central Park Was Created Entirely By Design and Not By Nature | Architectural Digest,Architectural Digest,Entertainment,24,2023-11-14,17:00:19,32157,1100413,1301,781
L8nrZ1LIgco,Nicole Scherzinger's Home Theater Is Like a Warm Cozy Hug,Architectural Digest,Entertainment,24,2023-11-13,17:00:08,6906,262346,55,42
fjeiskFoGu4,Jon Batiste Loves Suleika Jaouad's Transcendental Art,Architectural Digest,Entertainment,24,2023-11-10,17:00:08,1049,26431,7,59
zxeKvFJV4Lk,Architect Breaks Down The Design Of 4 Iconic NYC Museums | Architectural Digest,Architectural Digest,Entertainment,24,2023-11-09,17:00:16,7430,255290,211,1126
Sr3FzkM1DVo,The First American Diners Were in Train Carriages? 🚂,Architectural Digest,Entertainment,24,2023-11-08,17:00:14,876,20414,9,31
ou3h0twV9TY,Inside Country Music Star Orville Peck’s Mid-Century LA Treehouse | Open Door | Architectural Digest,Architectural Digest,Entertainment,24,2023-11-07,17:00:06,11553,451099,368,847
tW1nAupMcw0,Travis Barker makes the best matcha in L.A. 🍵,Architectural Digest,Entertainment,24,2023-11-06,17:00:14,68744,2377962,1539,38
x0Nryl2Rt88,Kerry Washington is Repping Portia de Rossi's Artwork,Architectural Digest,Entertainment,24,2023-11-03,16:00:16,1481,63642,21,37
vdOWyX2vmco,"Jon Batiste, Piano Man 🎹",Architectural Digest,Entertainment,24,2023-11-01,16:00:05,1004,28907,16,39
LLnybXGThbk,3 Interior Designers Transform the Same Cozy NYC Café | Space Savers | Architectural Digest,Architectural Digest,Entertainment,24,2023-10-31,16:00:11,4608,171800,208,1058
B9J5ES59W4s,How ghost stories helped save the architecture of New Orleans 👻,Architectural Digest,Entertainment,24,2023-10-30,16:00:05,409,12122,3,22
Xv_nUzpT5FI,Movie Villain Lairs: The Big Lebowski's Jackie Treehorn,Architectural Digest,Entertainment,24,2023-10-27,17:45:01,553,19625,3,53
YBxyq75roOU,Jon Batiste gifted Suleika Jaouad her writing hero Joan Didion's desk,Architectural Digest,Entertainment,24,2023-10-25,16:00:08,720,23338,13,28
7X0P5X4ELXg,Inside The Glowing Theater Opposite The 9/11 Memorial | Unique Spaces | Architectural Digest,Architectural Digest,Entertainment,24,2023-10-24,16:00:10,12013,400946,439,606
54QfIKwCNpQ,Why New Orleanians hated the iconic St. Louis Cathedral at first,Architectural Digest,Entertainment,24,2023-10-23,16:00:14,625,17833,6,23
ZqMqSqfcxvA,Why Alfred Hitchcock turned down Frank Lloyd Wright,Architectural Digest,Entertainment,24,2023-10-20,16:00:17,811,22429,14,58
y9Ceu9BO1jo,Architect Breaks Down Why Movie Villains Live In Ultra-Modern Houses | Architectural Digest,Architectural Digest,Entertainment,24,2023-10-19,16:00:21,6610,272396,204,879
Q3BMiMe1bQU,Jon Batiste keeps a Grammy in his bathroom,Architectural Digest,Entertainment,24,2023-10-18,16:00:09,967,31875,15,38
gnjSYotBgaA,"Pro Designer Fixes a Dark, NYC Studio Apartment With No Storage | Re:Design | Architectural Digest",Architectural Digest,Entertainment,24,2023-10-17,16:00:01,5648,184239,242,523
Ahcd4j6AzMY,Hilary Duff designed the coolest bedroom for her son,Architectural Digest,Entertainment,24,2023-10-16,16:00:05,2489,81987,27,36
W16pnnvOzpo,A Haunting New Orleans Tour,Architectural Digest,Unknown,19,2023-10-13,17:45:01,553,17045,8,29
vlYhWdHBw_M,Architect Tours New Orleans’ Most Haunted Houses | Walking Tour | Architectural Digest,Architectural Digest,Entertainment,24,2023-10-12,16:00:07,3952,128978,69,758
OWRYiRbs0Yo,A trip to Madea's house with Tyler Perry,Architectural Digest,Entertainment,24,2023-10-09,16:00:01,866,23746,8,42
xyE36Ix8C0g,Carmelo Anthony knows how to celebrate himself in style,Architectural Digest,Entertainment,24,2023-10-06,16:00:07,471,19847,5,19
8effXiRqDgA,3 Interior Designers Transform The Same Small Apartment Bathroom | Architectural Digest,Architectural Digest,Entertainment,24,2023-10-05,16:00:17,6113,253366,447,682
5TfNUg-Wgb0,Hilary Duff's kids know all the best hiding spots in the house,Architectural Digest,Entertainment,24,2023-10-04,16:00:11,1475,47919,9,18
5zvsAwsEwPg,Inside Jon Batiste & Suleika Jaouad’s Soul-Filled Brooklyn Home | Open Door | Architectural Digest,Architectural Digest,Entertainment,24,2023-10-04,12:00:02,44748,1884502,1665,846
ugOoT_vDPVQ,How Tyler Perry built a replica of The White House,Architectural Digest,Entertainment,24,2023-10-02,16:00:09,718,25471,12,39
vy73peyrFyQ,How Carmelo Anthony became an avid art collector,Architectural Digest,Entertainment,24,2023-09-29,16:00:19,1028,22547,20,19
8MkcEzfyCFM,Inside NBA Star Carmelo Anthony’s Stylish New Home | Open Door | Architectural Digest,Architectural Digest,Entertainment,24,2023-09-28,16:00:32,30823,1895755,1065,764
I6SU4525j2Y,Dwight Schrute's dining table was made by Ron Swanson 🤯,Architectural Digest,Entertainment,24,2023-09-27,16:00:10,1654,41517,12,27
qCYh5XRuiec,Kerry Washington warns about the dangers of cloud sofas (they're just too comfortable),Architectural Digest,Entertainment,24,2023-09-25,16:00:05,1919,69131,34,25
cXG_kiDufPA,Ashley Benson's backyard is a Mediterranean dream,Architectural Digest,Entertainment,24,2023-09-22,16:00:19,1109,38339,22,29
Mur6UGlxIf4,John and Chrissy gave their daughter a bedroom fit for a princess,Architectural Digest,Entertainment,24,2023-09-20,16:00:09,1731,54187,34,49
JKKtQzZis4c,Inside a Futuristic Home with Detachable Rooms | Unique Spaces | Architectural Digest,Architectural Digest,Entertainment,24,2023-09-19,16:00:13,19849,806443,550,728
ufdOQ6B6O0M,Rainn Wilson's home office is full of memories from The Office,Architectural Digest,Entertainment,24,2023-09-18,16:00:19,1155,27016,4,22
FvQ4gZfhmuI,Naomi Campbell shares why Kenya so great,Architectural Digest,Entertainment,24,2023-09-15,16:00:10,1230,36113,38,16
RimSAY35WdA,How Iconic Disney Castle Interiors Were Inspired By The Real-World | Architectural Digest,Architectural Digest,Entertainment,24,2023-09-14,16:00:10,5706,193759,87,747
pekG1eKduko,Troye Sivan's bathroom will make you want to go to the toilet,Architectural Digest,Entertainment,24,2023-09-13,16:00:12,1372,40909,29,47
odDnwUmO9tQ,The Bear dreams of Matty Matheson's restaurant,Architectural Digest,Entertainment,24,2023-09-11,16:00:02,746,24136,3,36
PKoCNUwFUys,Burna Boy's vinyl room is where the vibes are,Architectural Digest,Entertainment,24,2023-09-08,16:00:10,574,17712,8,30
bMFzFlrCzSc,How The Upper West Side Revolutionized NYC Apartments | Walking Tour | Architectural Digest,Architectural Digest,Entertainment,24,2023-09-07,16:00:16,9563,462112,225,678
QKlDfY_J2CU,Meryl Streep's apartment is the CUTEST,Architectural Digest,Entertainment,24,2023-09-06,16:00:12,1023,31519,13,49
PKAM4M9OET8,Inside Adwoa Aboah’s Delightful London Townhouse | Open Door | Architectural Digest,Architectural Digest,Entertainment,24,2023-09-05,17:33:18,18853,786869,554,878
_VFTscSEOuI,the details you missed in Paul Rudd's 'Only Murders in the Building' apartment,Architectural Digest,Entertainment,24,2023-09-04,16:00:08,566,27090,5,57
4cPu_qd2sAk,What easter eggs are hidden in Oliver's apartment in 'Only Murders in the Building'?,Architectural Digest,Entertainment,24,2023-09-01,16:00:03,497,22963,6,51
F4QAhU023gY,Touring The Set Of ‘Only Murders in the Building’ Season 3 | Set Tour | Architectural Digest,Architectural Digest,Entertainment,24,2023-08-31,16:00:17,8469,281673,150,740
RIS2h8msDeQ,Shonda Rhimes's apartment is giving Versailles,Architectural Digest,Entertainment,24,2023-08-30,16:00:11,1107,29209,12,36
1sYohzlapxE,Inside A Stunning Sandcastle-Shaped Beach House | On The Market | Architectural Digest,Architectural Digest,Entertainment,24,2023-08-29,16:00:29,19519,765052,567,837
e9yUjU6ZW5w,Ellen Pompeo's bar cart is mostly tequilaaaaaa 🍸,Architectural Digest,Entertainment,24,2023-08-28,16:00:05,808,28139,16,18
Q2D9jPed-DY,☁️ Viola Davis's bed must be like sleeping on a cloud ☁️,Architectural Digest,Entertainment,24,2023-08-25,16:00:11,1458,35328,17,25
L1ny9LgjRDA,"Inside a Family Home Built Around a 12,000-Year-Old Boulder | Unique Spaces | Architectural Digest",Architectural Digest,Entertainment,24,2023-08-24,16:00:19,33410,1206372,1342,862
2zqRHXsZ8YM,3 Interior Designers Makeover The Same College Dorm Room | Space Savers | Architectural Digest,Architectural Digest,Entertainment,24,2023-08-23,16:00:21,5071,196363,471,1113
J3HhngSta80,Seth Rogan just wants good weed and good furniture,Architectural Digest,Entertainment,24,2023-08-23,16:00:09,917,33770,15,16
