Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
veOKnb2Rxhg,The Best Movies of 2023,Chris Stuckmann,Entertainment,24,2023-12-28,16:30:09,28020,577720,3015,845
ycYw-NHTSNo,Kiss Kiss Bang Bang - Movie Review,Chris Stuckmann,Entertainment,24,2023-12-24,16:30:08,5471,82717,462,470
wUImjtzpWgo,The Boy and the Heron - Movie Review,Chris Stuckmann,Entertainment,24,2023-12-14,18:40:27,10407,205809,849,483
j80l_A3tgoA,The Abyss (Special Edition) - Movie Review,Chris Stuckmann,Entertainment,24,2023-12-07,16:00:26,8152,126082,1080,521
pZPwuUuMuWs,Wonka - Movie Review,Chris Stuckmann,Entertainment,24,2023-12-04,21:00:27,17652,395116,1480,342
NZef4eQhmCQ,Silent Night - Movie Review,Chris Stuckmann,Entertainment,24,2023-12-03,16:45:01,6546,129889,544,364
CWLk_ESXPUk,Dream Scenario - Movie Review,Chris Stuckmann,Entertainment,24,2023-12-01,16:30:04,7336,129216,426,299
8WFbqvvu8Ig,Godzilla Minus One - Movie Review,Chris Stuckmann,Entertainment,24,2023-11-30,16:30:01,34108,729666,2475,385
a8IZWoLbPLQ,Poor Things - Movie Review,Chris Stuckmann,Entertainment,24,2023-11-27,17:00:00,11997,255892,715,335
pwIWre21A40,Spider-Man 2 - A Monumental Achievement,Chris Stuckmann,Entertainment,24,2023-11-24,16:00:44,8460,138247,923,608
h6D5VX5580M,Thanksgiving - Movie Review,Chris Stuckmann,Entertainment,24,2023-11-19,16:30:07,10174,184078,880,351
HiGDWaUa4wU,The Hunger Games: The Ballad of Songbirds & Snakes - Movie Review,Chris Stuckmann,Entertainment,24,2023-11-18,17:00:11,10016,291792,953,370
3eGwuhNUqyo,Napoleon - Movie Review,Chris Stuckmann,Entertainment,24,2023-11-15,16:00:02,22391,641960,2329,351
LX1hi11qdh0,The Future of Film - Why I'm Worried,Chris Stuckmann,Entertainment,24,2023-11-14,17:30:03,45185,739778,10372,1221
gcrSpxAe4M8,The Holdovers - Movie Review,Chris Stuckmann,Entertainment,24,2023-11-06,17:00:30,7336,131934,569,355
YmClgkKcIgU,E.T. the Extra-Terrestrial - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-31,15:00:34,7179,83761,980,1059
lPjmmzmVp7Q,The Silence of the Lambs - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-30,16:00:36,9328,133163,690,453
DLCytiCn-HM,Cloverfield - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-29,16:00:08,11035,167397,912,669
FHO-aRcdESA,Scooby-Doo on Zombie Island - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-28,16:00:11,6537,82744,833,492
haPseSaZkHw,What Lies Beneath - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-27,16:00:38,8491,135393,914,886
ozXBuVNTzr0,Evolution - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-26,16:00:46,8271,104470,1503,511
uxeaWqODSFI,Five Nights at Freddy's - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-26,08:17:27,20468,429303,1747,434
MBwYmun82rA,The Killer - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-25,16:00:24,15372,410915,1436,442
ggApeURgVmA,Joy Ride - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-24,16:00:27,5157,70670,488,397
heQCNO0FsHg,Stir of Echoes - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-23,17:21:50,5502,78430,484,434
TGgRVVuRdrE,One Hour Photo - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-21,16:00:29,9443,138322,807,662
s5cCHLb_zhA,Killers of the Flower Moon - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-20,16:00:51,20194,469596,1816,419
Kis90S6JBLE,Final Destination 3 - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-18,18:00:09,6905,105151,693,631
JTy0YsYatpA,Frailty - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-16,19:00:13,6668,89439,860,548
xazDS1_3hcU,Taylor Swift: The Eras Tour - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-15,15:00:46,10776,169706,1263,452
eIYprxTAWsw,Freddy vs. Jason - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-13,15:30:10,8881,138912,866,523
dCgfHDcHPCo,Pitch Black - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-11,15:30:11,7518,109445,619,432
jz8DgUmfZsk,When Evil Lurks - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-09,15:30:17,11171,213513,816,427
5TidYfxPTE0,V/H/S/85 - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-07,18:03:19,7802,147492,630,546
zJlApLnbnm8,Cure - Movie Review,Chris Stuckmann,Entertainment,24,2023-10-04,16:01:01,8244,134757,464,522
