Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
qlPH_RcNCL8,Shae Gill | Mera Sawera | Coke Studio,Coke Studio Pakistan,Entertainment,24,2023-08-23,10:59:31,2336,100741,23,16
FjGHwvMU0wM,Shae Gill | Mera Sawera | Coke Studio,Coke Studio Pakistan,Entertainment,24,2023-08-23,10:56:24,2474,3693087,97,16
ypN2mVdsEeE,Coke Studio Global | Shae Gill x Evdeki Saat | Hit or Miss,Coke Studio Pakistan,Entertainment,24,2023-06-26,13:18:39,3892,130056,28,40
DiQfKhi2KQk,Coke Studio Global | Shae Gill x Evdeki Saat | Collaboration,Coke Studio Pakistan,Entertainment,24,2023-06-26,13:18:27,3317,122055,12,30
Ya0rjqrriOQ,Coke Studio | One Love | Behind The Scenes,Coke Studio Pakistan,Entertainment,24,2023-06-24,12:00:03,4071,141182,17,32
lfOvWkCB1iw,Coke Studio | One Love | Behind The Scenes,Coke Studio Pakistan,Entertainment,24,2023-06-24,11:59:44,2671,85362,20,32
YRTbCJUut1U,Shae Gill x Evdeki Saat | One Love | Coke Studio,Coke Studio Pakistan,Entertainment,24,2023-06-23,13:13:55,4173,2531830,190,15
KQu-_z2k84U,Ye Dunya | 10 Million Views | Celebration,Coke Studio Pakistan,Entertainment,24,2023-06-22,06:05:08,2009,50316,18,31
wKds7j5Vzpg,Coke Studio | Quick Style | Pakistan,Coke Studio Pakistan,Entertainment,24,2023-03-09,12:11:29,16767,930670,423,786
jUSantbkFgM,Coke Studio | Tu Jhoom | 50 Million,Coke Studio Pakistan,Entertainment,24,2023-02-13,13:56:51,6383,158762,36,30
ZVEtABp-raw,Coke Studio | Peechay Hutt | 20 Million,Coke Studio Pakistan,Entertainment,24,2023-02-05,10:28:47,1929,63773,11,26
TsXLCAhyFGw,Coke Studio | Kana Yaari | 55 Million,Coke Studio Pakistan,Entertainment,24,2023-02-02,16:51:46,25455,501063,65,29
rD1nNekYlYY,Coke Studio | Pasoori | 500 Million,Coke Studio Pakistan,Entertainment,24,2023-01-22,08:30:14,7174,184627,412,107
6NbO-uQQSLw,Coke Studio | 2022 | Rewind,Coke Studio Pakistan,Music,10,2023-01-02,07:32:21,5254,119799,29,34
RkL9Mh2PHJU,Coke Studio | Pasoori | Celebration,Coke Studio Pakistan,Music,10,2022-12-27,10:47:30,11185,235194,64,35
rmwD76EqjUk,Coke Studio x Quick Style | Kana Yaari | Official Dance Video,Coke Studio Pakistan,Music,10,2022-12-09,12:04:00,147484,7111315,2118,242
Jh73ALJ-y-M,Coke Studio | Quick Style | Karachi Tour,Coke Studio Pakistan,Music,10,2022-11-27,19:15:03,3832,83274,19,22
IWTZcQfAovk,Coke Studio | @TheQuickStyle  | Port Grand,Coke Studio Pakistan,Music,10,2022-11-27,07:54:51,3941,76893,20,41
WUP-fLwRYwM,@TheQuickStyle  | Port Grand,Coke Studio Pakistan,Music,10,2022-11-26,08:50:18,14412,322224,87,27
5X1OkIOGoX8,Coke Studio Live UAE | Highlights,Coke Studio Pakistan,Music,10,2022-11-25,09:55:42,2249,1055148,91,123
9S7Ph6PzS64,Coke Studio | @TheQuickStyle in Karachi,Coke Studio Pakistan,Music,10,2022-11-25,07:29:37,5382,101906,24,30
