Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
wqb53Nzw9GQ,Dua Lipa - Houdini (Adam Port Mix),Dua Lipa,Music,10,2023-12-22,10:43:37,29908,859616,1043,203
ZljRi1_iafg,"December 20, 2023",Dua Lipa,Music,10,2023-12-20,19:16:52,25484,261157,783,36
vrZkMmBENOI,Tokyo lights 🚨,Dua Lipa,Music,10,2023-12-18,18:53:02,31795,387974,543,16
ajls4K4lBs4,🖤 😎 😂🖤,Dua Lipa,Music,10,2023-12-13,17:26:02,49606,639230,1053,16
YIvwCIwDQT8,Dua Lipa - Houdini (Extended Edit) [Official Audio],Dua Lipa,Music,10,2023-12-01,00:00:16,46108,1160765,2353,354
3esWiS0JZAY,Last night in LA celebrating HOUDINI ⛓🔐,Dua Lipa,Music,10,2023-11-16,01:53:04,45263,719406,600,16
YyMxhaXtklI,limited edition!! dropped houdini cassettes to celebrate for this week only thanks for the loveeee,Dua Lipa,Music,10,2023-11-15,18:42:21,104385,2264736,842,17
B8hBtK-cIYk,Love seeing your videos tooooo #DuaLipaHoudini Brought to you by YouTube Shorts,Dua Lipa,Music,10,2023-11-15,03:30:29,785003,23878749,3371,13
A_Qpwzu4ntw,catch theseeee cassette's before they go Houdiniiiii on yaaa!!! 🔐🫀⛓️link in bio,Dua Lipa,Music,10,2023-11-14,20:19:49,27028,566219,393,3
0egzGjGyJa4,The making of HOUDINI 🖤,Dua Lipa,Music,10,2023-11-14,16:27:57,27692,445840,278,16
GHFAgJk7zbo,my girl chloecaillet threw a crazy night in London and I got to go rave & celebrate Houdini!!! 🖤🖤,Dua Lipa,Music,10,2023-11-14,01:17:23,42177,1152044,1412,14
Lkw2b1tn6oY,the art of ghosting…,Dua Lipa,Music,10,2023-11-12,19:46:36,74862,958874,532,15
KJ8lbgzi2Uw,tell me all the ways you need me 🖤 brought to you by YouTube Shorts #DuaLipaHoudini,Dua Lipa,Music,10,2023-11-10,23:21:28,1823864,46341312,6975,16
5IuxuOgJlpk,catch these before they go…,Dua Lipa,Music,10,2023-11-10,19:32:25,58304,721789,899,16
DM6r5i_NysU,⛓️HOUDINI! OUT! NOW! EVERYWHERE!,Dua Lipa,Music,10,2023-11-09,23:38:56,30021,420408,290,37
ds0WzSKYP8g,I'm not here for long 🔒 brought to you by YouTube Shorts #DuaLipaHoudini,Dua Lipa,Music,10,2023-11-09,23:26:56,1384185,58526730,6224,13
CxpClOs0KEE,catch me or I go... HOUDINI🔐 brought to you by YouTube Shorts #DuaLipaHoudini,Dua Lipa,Music,10,2023-11-09,23:23:23,2948896,86664753,7550,13
suAR1PYFNYA,Dua Lipa - Houdini (Official Music Video),Dua Lipa,Music,10,2023-11-09,23:00:11,908844,60787690,37095,189
G0PvCfdpEM0,HOUDINI - TOMORROW,Dua Lipa,Music,10,2023-11-08,22:31:25,22171,321905,258,11
XUHekkmvCac,who’s ready to hear the rest…. 🔐,Dua Lipa,Music,10,2023-11-06,21:00:58,51933,772982,679,7
38fUzStc7RU,studio behind the scenes on Houdini for youuuu 🔐,Dua Lipa,Music,10,2023-11-06,18:39:40,13820,138548,240,16
mBnphFU_oR4,I'm not here for long,Dua Lipa,Music,10,2023-10-29,16:14:00,52238,738447,786,7
POppJYs79D0,miss me?,Dua Lipa,Music,10,2023-10-12,17:57:16,30605,286474,1064,11
mkmrv7-vJx8,🪩💕🪩 Dance The Night BTS,Dua Lipa,Music,10,2023-08-16,02:28:53,93021,1680947,1092,53
Q6HG1kGIdao,The making of “Dance The Night” for Barbie 💖 #markronson #andrewwyatt #carolineailin 💖,Dua Lipa,Music,10,2023-08-07,14:49:16,119814,2245076,485,52
D1xkRWf6An8,Dance The Night is Top 5 in the UK! 💖,Dua Lipa,Music,10,2023-08-03,04:48:51,120102,2234516,588,38
hCLkVrp_4CE,Dua Lipa - Dance The Night (From Barbie The Album) [Official Lyric Video],Dua Lipa,Music,10,2023-07-24,20:19:08,151822,16887321,2707,178
OiC1rgCPmUQ,Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video],Dua Lipa,Music,10,2023-05-25,23:00:09,1478086,140861396,22723,212
Y8DVF5S_Nx8,London has my heart 💘,Dua Lipa,Music,10,2022-05-04,14:35:49,56327,1336201,949,31
53xghVlEXk8,💚🧘🏻‍♀️#shorts,Dua Lipa,Music,10,2022-04-27,10:07:58,51490,1266718,782,19
lyWYxfccb6k,UK ~ Manchester April 15 ‘22 💖 #shorts,Dua Lipa,Music,10,2022-04-19,09:53:36,94983,2586596,1553,6
epPiuZ8usBk,North American leg of the Future Nostalgia tour down. UK up next!! 💘 #shorts,Dua Lipa,Music,10,2022-04-08,09:27:23,31333,739938,354,25
-qJGButqL6w,GRAMMYS 22 🖤 #shorts,Dua Lipa,Music,10,2022-04-06,14:30:52,78956,1870641,846,6
6Hf_Tg2Td54,Livin in a dream world #shorts,Dua Lipa,Music,10,2022-03-31,15:03:34,46935,887773,605,10
MAEQErPVzhU,Recently…. @megantheestallion 🍦#shorts,Dua Lipa,Music,10,2022-03-24,13:15:08,20833,548867,215,16
O3T9ZtoLBzo,Sweetest Pie BTS out now on my channel!! 🍒 🥧 #shorts,Dua Lipa,Music,10,2022-03-18,16:11:05,21006,497280,336,18
uOz-vvp1wxY,Megan Thee Stallion & Dua Lipa - Sweetest Pie [Official BTS],Dua Lipa,Music,10,2022-03-18,13:00:29,62104,2121441,1571,210
1U8ILvY9of4,Sweetest Pie 🍒🍒 OUT NOW!!! #sweetestpie #megxdua #shorts,Dua Lipa,Music,10,2022-03-11,16:00:36,21871,462678,349,16
dJ6VyNkwPi0,Dua Lipa - Love Again (Garabatto Remix) [Official Audio],Dua Lipa,Music,10,2021-10-14,23:00:29,92529,4429132,2676,209
VElre5GhyV4,Dua Lipa - Love Again (Imanbek Remix) [Official Audio],Dua Lipa,Music,10,2021-10-01,09:00:57,146856,11218534,3644,211
N000qglmmY0,Dua Lipa - Levitating (Official Animated Music Video),Dua Lipa,Music,10,2021-09-13,13:46:23,578230,19731488,16775,210
BC19kwABFwc,Dua Lipa - Love Again (Official Music Video),Dua Lipa,Music,10,2021-06-04,12:00:11,2486128,303390734,74104,263
n8OxyKNBsuQ,Dua Lipa - Future Nostalgia Medley (Live at the BRIT Awards 2021),Dua Lipa,Music,10,2021-05-11,21:23:58,471296,28416064,13570,315
_AJGUWCP1Xc,Dua Lipa - We're Good (Official Behind The Scenes),Dua Lipa,Music,10,2021-03-19,16:09:28,54874,1348479,2135,121
vFWv44Z4Jhk,Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021),Dua Lipa,Music,10,2021-03-15,02:34:09,1679693,74273302,45187,305
eP-c2AiqiUY,Dua Lipa - STUDIO 2054 IS BACK!,Dua Lipa,Music,10,2021-03-12,18:00:09,23708,575857,1006,45
gbj0Tvwnb04,Dua Lipa - We’re Good (Dillon Francis Remix) [Official Audio],Dua Lipa,Music,10,2021-03-12,08:00:10,47843,1800463,1691,187
jr47YisIsz8,Dua Lipa - We're Good (Official Music Video),Dua Lipa,Music,10,2021-02-12,05:00:13,1112307,98443179,38407,192
VwDTp0QTyY0,Dua Lipa - We're Good (Official Audio),Dua Lipa,Music,10,2021-02-11,23:00:08,163494,10417703,7766,166
pDe4vd8Tv-Q,Dua Lipa x Angèle - Fever (Feder Remix) [Official Audio],Dua Lipa,Music,10,2021-01-11,18:05:04,45547,1730527,1442,182
hzVGELUyebo,Dua Lipa x Angèle - Fever (Myd Remix) [Official Audio],Dua Lipa,Music,10,2021-01-11,18:04:59,12134,370920,468,221
OoWaG5H2RCs,Dua Lipa x Angèle - Fever (Vantage Remix) [Official Audio],Dua Lipa,Music,10,2021-01-11,18:04:53,14584,372242,737,154
