Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
fn8Zn7Jx_Fk,LAST DAY IN BRAZIL!🇧🇷,IShowSpeed,Gaming,20,2024-01-11,23:31:54,38868,231012,487,5938
v-xX9_KqwHA,irl Brazil studio 🔥🇧🇷,IShowSpeed,Gaming,20,2024-01-10,21:27:53,43475,738550,1161,5221
SsXVHL69nd0,irl stream meeting Ronaldo🇧🇷,IShowSpeed,Gaming,20,2024-01-10,14:36:08,72916,1017878,1959,2257
9JtbTetEWzI,irl Brazil Party stream 🕺🇧🇷,IShowSpeed,Gaming,20,2024-01-10,03:50:30,60027,1102858,2034,7062
bil2kEOg-D8,irl stream in Brazil favelas 🇧🇷,IShowSpeed,Gaming,20,2024-01-08,20:10:12,120757,2188454,2950,8513
jkOJ560-xwQ,YO SPEEDD TURN ME UP,IShowSpeed,Gaming,20,2024-01-07,00:18:42,44772,1278735,1668,15743
XRUm3ejGqtY,master im tired,IShowSpeed,Gaming,20,2024-01-04,23:43:58,40670,1215152,1770,10908
EqDxDmM1hB4,"BEATING GTA 5 RIGHT NOW (last mission)!!!!!!! 2024 SPEED, PT.3",IShowSpeed,Gaming,20,2024-01-03,13:40:34,59332,1158031,2146,6122
h3sp7vRS7u4,"not ending til i beat GTA 5............. 2024 SPEED, PT.2",IShowSpeed,Gaming,20,2024-01-03,12:29:31,74157,2107777,911,40351
SDwyQZF7R1w,"2024 SPEED, PT.1",IShowSpeed,Gaming,20,2024-01-03,00:39:04,44706,1273559,1345,18009
A7oZ8495kYo,NEW YEARS STREAM PT. 1🔟9️⃣8️⃣7️⃣6️⃣5️⃣4️⃣3️⃣2️⃣1️⃣🎆🥳🎉🎊🎇,IShowSpeed,Gaming,20,2023-12-31,22:25:30,46710,1130281,1883,9124
YSOBIXLKcE8,nasty 12 HOUR STREAM ▶︎ •• 0:12,IShowSpeed,Gaming,20,2023-12-30,03:58:32,63705,1922138,2524,30323
mJEgU8L_GoA,alright,IShowSpeed,Gaming,20,2023-12-28,01:06:16,49566,1442799,1331,16416
