Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
QV-B0S_yuc4,Easy NO-BAKE treats (perfect for the holidays) 🎄,Pick Up Limes,People & Blogs,22,2023-12-10,17:11:51,13509,222428,306,447
8CqwjlaKqns,Full day of easy home-cooked meals 🎉,Pick Up Limes,People & Blogs,22,2023-11-30,17:01:27,15043,337337,6514,947
1-VFShuFJXQ,Micro habits that improved my life ✨,Pick Up Limes,People & Blogs,22,2023-11-12,16:07:12,23397,482404,549,561
xMdz4-AiYA4,The BEST cucumber salad 🥒 #salad #snacks #vegan,Pick Up Limes,People & Blogs,22,2023-10-29,16:31:28,46313,828976,294,51
Cl_bNkVzdQg,Become better at talking to people 🗣️,Pick Up Limes,People & Blogs,22,2023-09-28,14:28:05,34325,583256,662,532
vvm9na0x2_Q,If I could make only 1 noodle dish for the rest of my life… 🥢,Pick Up Limes,People & Blogs,22,2023-09-10,14:36:06,29564,507426,564,490
ztltfnNNth0,Easy STUDENT recipes (MEAL PREP friendly!) 🍱,Pick Up Limes,People & Blogs,22,2023-08-27,15:27:05,21324,462119,357,490
uBzsHhp8Fsg,"A WEEK IN MY LIFE | cooking, cleaning, and computer disaster 🫣",Pick Up Limes,People & Blogs,22,2023-08-06,13:57:34,10864,317087,500,1019
0wNJSPSHedk,SLEEP BETTER with these evening snacks 😴,Pick Up Limes,People & Blogs,22,2023-07-18,14:35:11,27867,602361,495,459
N3f1PfRL2h0,Plant-based MEAL PLANNING | Nourish Method tutorial 🌈,Pick Up Limes,People & Blogs,22,2023-07-01,16:00:42,12324,226223,1262,624
e5pJmSmT6ds,A full day of easy at-home meals 🍜,Pick Up Limes,People & Blogs,22,2023-06-25,15:48:38,21444,532243,5752,1000
wA2djbEg81I,"DAYS IN THE LIFE | home alone, it's just you and me 😉",Pick Up Limes,People & Blogs,22,2023-06-06,15:31:24,21452,489096,1109,794
45awieDmjVQ,15-minute meals when you don’t feel like cooking (8 ingredients or less!),Pick Up Limes,People & Blogs,22,2023-05-21,15:00:32,28628,527102,419,349
UTBlCRy3Mo0,How to find meaning (in an fast-changing world 🤖),Pick Up Limes,People & Blogs,22,2023-05-04,14:51:47,9522,174033,522,485
VUz3FIFYLG8,PANCAKES from around the world (eggless & dairy-free!) 🌎,Pick Up Limes,People & Blogs,22,2023-04-15,14:25:42,12272,232294,587,586
DrYP9V4f8Ng,Use SPICES like a PRO (+ printable guide!) 🌶️,Pick Up Limes,People & Blogs,22,2023-03-30,14:41:39,11228,191136,349,561
nJ05FbCiO1k,The biggest barrier to happiness + success 🫠,Pick Up Limes,People & Blogs,22,2023-03-07,17:07:15,20985,413196,597,532
d_qxjYCHI74,3 weeknight DINNER ideas (plant-based!)💡,Pick Up Limes,People & Blogs,22,2023-02-23,16:21:17,19645,416976,341,518
ZBKUqc_ICpg,3 easy BREAKFASTS to keep on REPEAT! ♻️,Pick Up Limes,People & Blogs,22,2023-02-09,15:27:28,24000,521218,613,460
I8IK3ZeWOjU,Life is short (how to spend it wisely) ⏱,Pick Up Limes,People & Blogs,22,2023-01-24,15:02:53,54037,1453064,1410,485
