Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
A9yTOOUdZ-g,Priscilla: The Truth About Her Lonely Life With Elvis Presley (& The Drama Behind The Film),The Take,Entertainment,24,2023-12-26,16:00:10,1156,32929,141,721
xUBAXaA0yLU,"Our Favorite Films & Shows, Performances, Underrated Releases, & More!",The Take,Entertainment,24,2023-12-23,16:00:26,782,23722,58,846
WlGb9dzk1dw,Maestro Fact vs Fiction: The True Story of Leonard Bernstein & Felicia Montealegre,The Take,Entertainment,24,2023-12-21,16:00:28,554,20249,108,629
sTx8Qewe7Yo,Why Big Bang Theory Wouldn't Have Worked Without Penny,The Take,Entertainment,24,2023-12-19,16:00:28,2181,125274,248,678
8vDLPhqs3NY,"William, Kate, & Harry, According to The Crown | Season 6 Part 2",The Take,Entertainment,24,2023-12-16,16:00:06,889,49075,111,699
8OQi_SpbpSo,The Terrible Best Friend Trope - A Strange Message in So Much TV,The Take,Entertainment,24,2023-12-14,16:00:05,1736,53813,142,702
6OEOxlaOdSo,Modern Family’s Alex: The Dark Side of Being the Smart Girl,The Take,Entertainment,24,2023-12-12,16:00:04,2003,67416,143,774
Jooz5oSq_ZY,Inside The Hollywood Method Acting Backlash,The Take,Entertainment,24,2023-12-09,16:00:11,1816,71953,313,799
kBGpN1XRdDU,"Frasier's Niles Crane: Weird, Hilarious, And... Surprisingly Relatable",The Take,Entertainment,24,2023-12-07,16:00:25,879,24870,93,886
EHhWtOrY-bo,The Living Doll Trope: Why They Want To Be Us,The Take,Entertainment,24,2023-12-05,16:00:13,850,18953,34,671
4kqxfkGFK-M,Netflix's New Controversy: Losing Millions On A Show That Doesn't Exist | Explained,The Take,Entertainment,24,2023-12-02,16:00:05,543,16975,70,592
4QBcCqrh2Ss,"The Gilded Age's Weird Appeal - How it Made ""Boring"" Fascinating",The Take,Entertainment,24,2023-11-30,16:00:05,963,29116,217,598
KUVKU-x7kBk,"Saltburn, Explained: Does The Ending Ruin The Film?",The Take,Entertainment,24,2023-11-28,16:00:11,2025,107753,332,983
3Ptp_3H64DI,How A24 Built Its Own Fandom & Saved Indie Film,The Take,Entertainment,24,2023-11-26,16:00:01,1628,33233,70,789
VHtsHwJS8LQ,The Crown on Diana's Final Weeks & Her Tragic End | Season 6 Part 1,The Take,Entertainment,24,2023-11-24,16:00:30,856,41980,83,1300
qRMTxB8cuos,May December: Analyzing A Shocking True Story & Problematic Trope | Controversy Explained,The Take,Entertainment,24,2023-11-21,16:00:36,4445,242763,503,751
AmPzEXuLJgk,"Sex and The City, A Total Analysis | Total Take",The Take,Entertainment,24,2023-11-18,16:00:04,1773,83419,87,1338
b6F0mjyUeMQ,The Blue Eyed Girl Trope: What Blue Eyes Really Symbolize,The Take,Entertainment,24,2023-11-16,16:00:21,1278,36302,186,589
gCZSNkhiqeA,Our Flag Means Death: Unpacking Season 2's Deep Meanings & Queer Story,The Take,Entertainment,24,2023-11-14,16:00:22,805,12768,56,797
dJwhxJtfUMY,How Indie Films Are Fixing Hollywood’s Intimacy Problem,The Take,Entertainment,24,2023-11-11,17:00:32,2120,70773,178,694
_sGpegr11ys,Justin Timberlake: What Britney Revealed + The Era That Shaped Him,The Take,Entertainment,24,2023-11-09,16:00:22,2632,84191,389,863
p_FK_wbG1g0,"Gen V Season 1 Explained: Character Arcs, Gen Z Tropes and The Boys Season 4 Clues",The Take,Entertainment,24,2023-11-07,16:00:29,1224,31344,124,747
kKYkxskVqO4,The Actor-prenuer: Being an Actor is Different in 2023,The Take,Entertainment,24,2023-11-04,15:00:42,819,26048,66,531
