Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
k9WmiednsRE,AJJUBHAI REAL FACE REVEAL | Q&A | TOTAL GAMING,Total Gaming,Entertainment,24,2024-01-10,07:49:12,310954,0,44273,1202
dPQHxM3ugl0,AJJUBHAI FACE REVEAL | TOTAL GAMING,Total Gaming,Entertainment,24,2023-12-30,04:00:08,3023941,28819833,422632,263
nDGyHVJ0YJA,ELIZA CALL ME NOOB👿| GARENA FREE FIRE,Total Gaming,Gaming,20,2023-12-16,04:00:19,351929,4963962,17575,1520
MjlOaQU6b0Q,"GOD OF FREE FIRE ""AJJUBHAI""💀 SOLO VS SQUAD NOOB GAMEPLAY | GARENA FREE FIRE",Total Gaming,Gaming,20,2023-12-13,04:00:16,125017,1842174,4152,1002
duxg2gM1WT8,AJJUBHAI & AMITBHAI VS MUNNABHAI AND SMARTY AUKAT KI BAAT | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-12-10,04:00:11,124519,1710576,14115,2435
KyiKW0B1JdQ,ALL TIME BEST!! AJJUBHAI & AMITBHAI DUO VS SQUAD GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-12-08,04:00:07,104179,1372224,3343,877
HfWdE1toQso,BIGGEST MISTAKE😢 SOLO VS SQUAD GOD LEVEL GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-12-05,12:30:08,85565,1166543,3807,1002
OuPQQxhsC3Y,I STOLE GOLDEN NISSAN GTR | GTA 5 CRIMINAL CITY PART 1,Total Gaming,Gaming,20,2023-12-03,09:30:07,53946,744286,5594,1551
XZUnqEaYKZo,AJJUBHAI AMITBHAI VS SMARTY & SRV WARRIOR BEST CLASH SQUAD BATTLE | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-12-01,04:00:13,76707,1258229,4365,1683
nL0fJrWYPrQ,"""I AM THE GHOST OF THE FREE FIRE"" AJJUBHAI94 SOLO VS SQUAD | GARENA FREE FIRE",Total Gaming,Gaming,20,2023-11-29,04:00:20,97454,1377202,3386,971
SjxqZGmU6oI,WAIT FOR END💀 BEST 1 VS 4 MOMENT #shorts,Total Gaming,Gaming,20,2023-11-26,08:15:02,259680,3065156,3099,59
j3YPT69eAro,100 LEVEL 4 PRO PLAYERS VS AJJUBHAI &AMITBHAI CS GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-11-25,04:00:30,97849,1482785,4279,1119
18eQ9t_96ZY,DON'T USE UMP😭#shorts,Total Gaming,Gaming,20,2023-11-24,04:00:00,248223,2856945,1192,60
sfwmDe1bMq8,WORLD'S NO.1 NOOB PLAYER IN FREE FIRE,Total Gaming,Gaming,20,2023-11-22,11:00:48,193317,2129282,1266,59
zXRK62t92R8,MY NEW HOUSE - I BECOME REAL ESTATE AGENT,Total Gaming,Gaming,20,2023-11-21,05:00:38,43151,518943,3899,1564
vvPPuEJSpJ8,999 IQ MOMENT #shorts,Total Gaming,Gaming,20,2023-11-20,04:00:30,275045,3319054,1298,58
8lccieK4a6A,300 IQ SOLO VS SQUAD 30 KILL GOD LEVEL GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-11-19,04:00:06,101656,1473586,3777,1014
EjeZXwNg3ug,1 VS 8🔥I FOUND 300 IQ SQUAD💀 | GARENA FREE FIRE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-11-18,10:00:16,329732,4237055,983,58
2dFR5lE7DDM,1 HP BEST MOMENT #shorts,Total Gaming,Gaming,20,2023-11-15,04:00:02,259346,3274936,903,40
pKwCE0h0cgA,MY FREE FIRE ID BANNED?😭,Total Gaming,Gaming,20,2023-11-14,04:00:18,184079,2132539,7691,1526
9KpXP9RYDrI,I HATE DIMITRI🔥1 VS 4 #shorts,Total Gaming,Gaming,20,2023-11-13,04:00:05,158845,2054218,812,44
f2QgXqD3MiY,WORLD NO.1 NOOB MOMENT #shorts,Total Gaming,Gaming,20,2023-11-11,09:15:02,167474,1463469,703,38
zp0AlVoCa4k,M60🔥ALL TIME BEST 1 VS 4 #shorts,Total Gaming,Gaming,20,2023-11-08,11:15:06,410074,5062480,1255,41
6mcAg0zNLmI,OLD FREE FIRE IS BACK | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-11-07,04:00:03,135056,1851182,5080,947
U8Ho2ykay0k,CAR FOR SALE BIG SCAM😭 #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-11-06,09:45:03,124279,1800706,527,42
2h1hXpEBSVo,I BECOME WORLD'S NO.1 CAR FOR SALE PLAYER,Total Gaming,Gaming,20,2023-11-05,04:00:02,45457,715923,2510,1657
JWjubI3DzpE,1 VS 3 WITHOUT GUN SKIN #shorts,Total Gaming,Gaming,20,2023-11-03,16:00:12,562998,7474247,1180,60
NMEBpKL3Hz8,FREE FIRE NEW RANK SEASON 36 GRANDMASTER PUSH DAY #1 | GARENA FREE FIRE LIVE,Total Gaming,Gaming,20,2023-11-01,15:04:07,122780,1418832,1038,19514
fmZErlcvqeg,NO AMITBHAI❌ AJJUBHAI VS 4 SHORTS CREATOR 🔥,Total Gaming,Gaming,20,2023-10-31,04:00:30,76155,1139294,3590,2204
DM6deH3vbCw,WORLD'S NO.1 CAR COLLECTION | CAR FOR SALE,Total Gaming,Gaming,20,2023-10-28,04:00:09,38289,550753,2164,2130
k09UI0llmh0,RIP DODGE VIPER😭 | CAR FOR SALE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-10-27,10:00:42,184189,2409757,799,59
bNaSIlLCsMg,1 VS 4 BEST 30 HP AWM + MP40 GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-10-25,04:00:30,129842,2122056,4538,943
3P5PL2BxiTs,400 IQ VS AWM 💀 1 VS 6🔥| GARENA FREE FIRE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-10-23,10:30:00,115685,1093479,1267,59
W9wJjb4pZVE,WE LOST AGAINST 200IQ 6 PLAYER | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-10-22,04:00:15,67465,1148676,4217,2903
M1GVEum50aI,1 VS 5🔥I FOUND 200 IQ SQUAD💀 | GARENA FREE FIRE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-10-21,09:00:15,809902,11969498,1761,60
KeLF6XwAXCY,BAAP HU ME ES NOOB KA | GARENA FREE FIRE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-10-19,10:45:01,363094,3122933,1215,55
oi3CO5st-Jw,CAR FOR SALE HACKER💀| CAR FOR SALE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-10-18,09:45:02,181512,2366757,664,49
czNiyCZjWe8,I LOST MY MOST EXPENSIVE CAR | CAR FOR SALE SIMULATOR,Total Gaming,Gaming,20,2023-10-18,04:15:02,44759,701842,2043,3036
DF3EWKZG0co,GOLDEN 6 SEASON 2 PLAYER VS AJJUBHAI AMITBHAI AND NITIN FF BEST CS FF GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-10-15,04:00:05,87846,1575512,4899,1636
hKQQa0PVxoU,INDIA'S NO.1 BIZON GUN PLAYER VS AJJUBHAI BEST CS FF GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-10-13,04:00:33,92567,1376778,6078,1245
C-jJ5lTRObI,ORION VS SONIA AND DIMITRI | GARENA FREE FIRE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-10-12,04:00:04,320354,4082664,1225,54
DfKXtEuMhmw,END OF SONIA AND DIMITRI SOLO VS SQUAD GAMEPLAY | GARENA FREE FIRE,Total Gaming,Gaming,20,2023-10-10,04:00:05,96863,1168290,4582,836
7zeMcebGWFI,AWM 1 VS 6 PRACTICE CUSTOM MOMENT | GARENA FREE FIRE #shorts #youtubeshorts,Total Gaming,Gaming,20,2023-10-09,10:45:00,599358,6810688,3157,58
