Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
PVfOIQnxROw,34 Celebs Reveal Their Best Makeup Secrets of 2023 | Vogue,Vogue,Entertainment,24,2023-12-27,17:00:07,602,6297,34,868
cqxkYUfOf9c,Brad Pitt's Beauty Routine,Vogue,Entertainment,24,2023-12-27,14:00:03,1229,13205,26,48
MTBqu6SnBZU,How Celebs Treat Their Acne,Vogue,Entertainment,24,2023-12-26,14:00:02,1801,37847,7,37
f1I6CFTppLc,34 Celebs Reveal Their Best Skincare Secrets of 2023 | Vogue,Vogue,Entertainment,24,2023-12-25,17:00:06,2470,72413,66,681
ExFyZqL359E,Cole Sprouse on Growing Up as a Twin,Vogue,Entertainment,24,2023-12-25,14:00:01,1250,21698,9,31
KzeapQEqNxQ,Selena Gomez's Ideal Night Out!,Vogue,Entertainment,24,2023-12-22,14:00:04,3655,64610,48,47
wAoK69mhE0w,What It's Like to Work at Vogue,Vogue,Howto & Style,26,2023-12-22,14:00:02,4538,73614,24,43
KRyQu9f32tY,An Actor on How to Nail Kate Middleton’s Voice,Vogue,Howto & Style,26,2023-12-21,14:00:03,1638,33851,10,33
ypusLe1SIts,Jennifer Garner Only Cares That Her Kids Do THESE Two Things,Vogue,Howto & Style,26,2023-12-20,14:00:03,2804,56400,21,11
eQAbE-h7SvA,"Model Colette Kanza's ""French Girl"" Beauty Routine | Beauty Secrets | Vogue",Vogue,Entertainment,24,2023-12-19,17:00:30,2417,51335,140,412
DYFu6axhEFM,Nicki Minaj Revisits Her Life in Looks,Vogue,Howto & Style,26,2023-12-19,14:00:02,2151,33194,23,37
7-5y9cY2GZU,Celebs Rank Their Favorite Taylor Swift Songs #swifties,Vogue,Entertainment,24,2023-12-18,19:13:09,3859,73981,21,47
Hqsb6gFau-8,Kylie Jenner's Ideal Christmas Gifts for the Family,Vogue,Howto & Style,26,2023-12-15,13:00:01,8662,239323,76,38
tIVMnhB57aE,Hailey Bieber's Black Dress Date Night Look,Vogue,Entertainment,24,2023-12-14,20:00:02,29267,530957,216,48
AjxlMQzlcD8,The Crown’s Meg Bellamy Breaks Down Kate Middleton’s Most Iconic Looks | Life in Looks | Vogue,Vogue,Entertainment,24,2023-12-14,17:00:07,6615,377686,193,613
bhY6f7voWIo,Shalom Harlow & Amber Valletta on Their Infamous Runway Moment,Vogue,Howto & Style,26,2023-12-13,13:00:04,41871,568251,129,56
q1Y9VrRDq6s,Sienna Miller Opens Up About Pregnancy at 41 | Vogue,Vogue,Entertainment,24,2023-12-13,13:00:02,3478,273435,235,872
8xB7HEcQJRc,The Crown's Elizabeth Debicki Has Tea & Talks Playing Princess Diana | Vogue,Vogue,Entertainment,24,2023-12-12,17:00:20,4534,240011,134,318
s8DFPzF9u1A,🛑 Do Not Touch PinkPantheress's Forehead,Vogue,Howto & Style,26,2023-12-12,13:00:01,2314,63238,26,34
4bAY5qWV7WU,Cole Sprouse on Going Back to Blond,Vogue,Howto & Style,26,2023-12-11,21:00:03,8540,288640,52,24
vhns82LvKgE,"Jennifer Garner’s ""Quick as Possible"" Beauty Routine | Beauty Secrets | Vogue",Vogue,Entertainment,24,2023-12-11,17:00:01,22338,595555,680,395
fPR4DrH-fYo,Vogue Has an Obsession With Margiela Tabis...,Vogue,Howto & Style,26,2023-12-08,17:00:20,1745,51844,62,18
GnUYLVW9Qj0,"Nicki Minaj Breaks Down 11 Looks, From Pink Friday to Barbie | Life in Looks | Vogue",Vogue,Entertainment,24,2023-12-07,17:00:19,72506,963836,2996,565
A1LyGPx_ztI,Cardi B Walks in the Balenciaga Show,Vogue,Entertainment,24,2023-12-07,13:00:03,3406,86347,77,12
