Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
sJs_64OUpEs,"2023, in 7 minutes",Vox,News & Politics,25,2023-12-26,13:00:43,197784,4144175,8859,470
ZWPWY0j321k,Why IBM is building next generation storage solutions. Advertiser content from IBM,Vox,News & Politics,25,2023-12-22,18:33:54,2381,150230,192,301
2StLbCSW7p4,What all Christmas movies have in common,Vox,News & Politics,25,2023-12-21,13:00:02,9465,302853,198,504
bia17ZkTFCs,What your credit score actually means #shorts,Vox,News & Politics,25,2023-12-15,16:30:10,2103,73057,132,59
c0TQlgoUHRE,What your credit score actually means,Vox,News & Politics,25,2023-12-14,13:55:16,14300,471606,840,758
bEJ0_TVXh-I,AI can do your homework. Now what?,Vox,News & Politics,25,2023-12-12,13:00:22,31407,896691,2706,1023
9boE53Z_lAg,Why Israel has so many Palestinian prisoners,Vox,News & Politics,25,2023-12-11,21:19:26,20981,432773,2485,710
eZ_BxYD24Pg,Why is it so hard to buy a house in the US? #shorts,Vox,News & Politics,25,2023-12-09,13:00:35,2914,80620,75,60
Exza1UYxXXM,Why buying a house in the US is so hard right now,Vox,News & Politics,25,2023-12-07,13:00:13,15636,561953,1267,591
h42QVfrUVFw,What's inside this crater in Madagascar?,Vox,News & Politics,25,2023-12-05,17:40:00,155862,3973886,7870,1473
eovPZkHCKk4,Christina Ricci Is A Scammer’s Biggest Nightmare [Advertiser Content From Zelle®],Vox,Entertainment,24,2023-11-30,23:00:51,339,34798,34,602
Fv5SvRVds_w,Why cheating is allowed on game shows,Vox,News & Politics,25,2023-11-29,13:00:09,20038,572729,778,654
1ZKBaRsP1gY,"The rise of Xi Jinping, explained",Vox,News & Politics,25,2023-11-28,13:00:01,100824,3643890,4502,1314
Xkuh6JqDiQc,How bats carry deadly diseases without dying,Vox,News & Politics,25,2023-11-22,13:00:22,10333,297585,257,469
j_n6g-x3r6E,Forgotten Transgender History of the Wild West #shorts,Vox,News & Politics,25,2023-11-20,23:44:48,22280,436820,978,60
m6OLXS8_PiM,But what is gender affirming care #shorts,Vox,News & Politics,25,2023-11-17,19:11:20,4168,137750,293,57
NqabT21d8VM,Something weird happens when you keep squeezing,Vox,News & Politics,25,2023-11-13,13:00:28,149498,7075595,4748,696
saBoVaIOfQU,"The Hesitant Fiancée, explained in 60 seconds #shorts",Vox,News & Politics,25,2023-11-11,00:24:56,617504,6303279,2231,52
52JUvgAfXlc,"Sudan's conflict, explained #shorts",Vox,News & Politics,25,2023-11-09,23:06:48,4213,96463,56,56
9z4_leGaQQs,Your baby teeth probably fell out in this order #shorts,Vox,News & Politics,25,2023-11-08,22:04:19,13923,276646,222,57
UWhuHiL8Pug,Why everyone hates this concrete building,Vox,News & Politics,25,2023-11-06,13:00:31,14888,623388,1072,483
z-eC9eoaRm4,How China is designing flood-resistant cities #short,Vox,News & Politics,25,2023-10-31,15:49:59,59762,1103701,912,58
CoBeQzc4vQc,How The Conjuring became the Marvel of horror,Vox,News & Politics,25,2023-10-31,12:00:14,8822,237243,277,521
lmVakNtCYwQ,Why this 13th-century song shows up everywhere #shorts,Vox,News & Politics,25,2023-10-30,18:00:48,105986,1139444,1389,60
lv1SpwwJEW8,"Gaza, explained",Vox,News & Politics,25,2023-10-28,01:32:40,91969,3040269,12615,951
nf-Yy3EuZi0,How China is designing flood-resistant cities,Vox,News & Politics,25,2023-10-26,23:53:19,17576,696363,813,410
EyAdby3hMRM,Cow burps are a climate problem. Can seaweed help? #shorts,Vox,News & Politics,25,2023-10-24,15:11:09,2497,59978,122,56
dL_H_74VP2w,The right way to kill a fish #shorts,Vox,News & Politics,25,2023-10-23,19:49:34,11498,269229,189,60
oRUjKZOhV6E,Cow burps are a climate problem. Can seaweed help?,Vox,News & Politics,25,2023-10-20,12:00:42,6600,248316,911,359
W5hBL94EFMQ,Why the Nakba is key to understanding Palestinian history #shorts,Vox,News & Politics,25,2023-10-19,22:03:22,52973,1339256,5627,60
ujBFPKMQSlg,Where was the Israeli army on October 7 #shorts,Vox,News & Politics,25,2023-10-16,20:43:27,3333,113446,208,58
a9FbqgOi-4g,Where the Israeli army was when Hamas attacked,Vox,News & Politics,25,2023-10-16,17:18:07,31840,984458,3124,507
brZjzM75GjY,Why there’s a race for deep sea metals #shorts,Vox,News & Politics,25,2023-10-12,18:53:27,4293,93991,98,54
n3TCKKAL3uo,Why are the giant pandas leaving the DC Zoo? #shorts,Vox,News & Politics,25,2023-10-11,22:18:46,2125,73377,81,57
V4j606F6mvo,The True Cost of Financial Abuse | Advertiser content from The Allstate Foundation,Vox,News & Politics,25,2023-10-11,20:01:22,2511,108002,0,393
pf1GvrUqeIA,The race to mine the bottom of the ocean,Vox,News & Politics,25,2023-10-11,12:00:46,45523,2177934,1852,673
Vjvf684eyuQ,Are US politicians really that old? (yes) #shorts,Vox,News & Politics,25,2023-10-06,20:12:35,16897,325007,361,59
ZlFF7A8nk0w,Why useless decongestants are still for sale,Vox,News & Politics,25,2023-10-05,12:00:35,21646,789415,1136,593
mIsD1cXtmok,US politicians are really old and refusing to retire #shorts,Vox,News & Politics,25,2023-10-02,21:35:09,9935,184600,365,47
QkD8wsiB-6c,Solar’s land scarcity problem #shorts,Vox,News & Politics,25,2023-09-29,21:26:57,3441,82851,150,60
R2karaKGgkk,"The anti-racist town in the American South, explained",Vox,News & Politics,25,2023-09-29,12:00:17,12920,379286,718,1084
pZz3tfXEFmU,Why Jaws and Barbie were such blockbusters,Vox,News & Politics,25,2023-09-28,12:00:40,13879,336623,395,769
yeaQUhAOdtk,How to fight climate change with parking lots,Vox,News & Politics,25,2023-09-27,12:00:51,23032,801203,1899,512
1aMTvU40RlU,Why aren’t there more delivery bikes in the US? #shorts,Vox,News & Politics,25,2023-09-23,12:00:04,3950,84326,178,60
12HDvYRYp9w,Reporting on ChatGPT in education,Vox,News & Politics,25,2023-09-21,19:27:36,3974,105241,150,32
R63DdEe_8aM,It's time to replace urban delivery vans,Vox,News & Politics,25,2023-09-20,12:00:20,15490,503213,1491,380
UpmwhkNg5Dw,How Republicans conquered Florida,Vox,News & Politics,25,2023-09-18,12:00:32,37918,1183013,4706,705
8_NITp2JgvU,How these dams made Libya's flood so deadly #shorts,Vox,News & Politics,25,2023-09-15,20:44:44,8897,199700,152,53
PGmhLRKpfAE,How to take the global temperature #shorts,Vox,News & Politics,25,2023-09-15,17:47:24,71139,1152388,1357,60
80hc9dV5St0,Popular names aren’t as popular as they used to be  #shorts,Vox,News & Politics,25,2023-09-14,18:41:35,101935,1632712,2258,59
DiheSWIxydk,We have a request,Vox,News & Politics,25,2023-09-12,12:00:08,6357,92802,439,388
STff_wOQHn4,Why most tennis players struggle to make a living,Vox,News & Politics,25,2023-09-11,23:00:16,18402,594796,1419,585
6xvrKW2H_hA,Why Silicon Valley is here,Vox,News & Politics,25,2023-08-28,12:00:03,18599,777635,368,527
wAQyHqm9STo,The secret language of ships #shorts,Vox,News & Politics,25,2023-08-25,21:21:22,55805,532341,223,52
e9OsIj32w7U,The day women shut down Iceland,Vox,News & Politics,25,2023-08-23,12:00:28,18396,444681,1054,534
o_-1GRDRPfU,Why airplane legroom isn’t regulated… yet #shorts,Vox,News & Politics,25,2023-08-21,17:21:13,4942,141352,133,58
5Z101RchIBA,Why this is the Trump indictment you should care about #shorts,Vox,News & Politics,25,2023-08-19,16:52:48,10783,209446,507,60
sxHu46YKnZg,What we get wrong about saving the bees,Vox,News & Politics,25,2023-08-14,12:00:44,18196,553375,629,572
UKlyYvJJF5s,The surprising factor making Maui's wildfires worse #maui #hawaii #wildfire,Vox,News & Politics,25,2023-08-11,12:00:23,18941,524501,951,39
TXjU4l5wrkk,How airplane legroom got so tight,Vox,News & Politics,25,2023-08-08,12:00:33,18632,804836,1194,555
RSDnXELorhE,The biggest reason SUVs dominate US roads #shorts,Vox,News & Politics,25,2023-08-04,16:15:48,8297,158206,274,58
V1R2yrmjmOQ,Rental Scams Are On The Rise: Check Your FOMO At The Door [Ad content from Zelle],Vox,News & Politics,25,2023-08-03,20:00:07,577,45234,38,195
9kaSKoBb7ew,High female employment rates in Europe mean more babies #shorts,Vox,News & Politics,25,2023-08-02,16:31:01,10530,240392,622,55
ZdFFL9wNsaY,How cruise ships got so big,Vox,News & Politics,25,2023-08-01,12:00:34,30911,1403839,797,449
-_fqI0JNU6g,Barbie’s past life as a German sex worker #shorts,Vox,News & Politics,25,2023-07-31,20:20:56,167838,2545734,1049,60
ot3dT7c7jiE,Don’t Let Your Survival Instincts Trick You Into A Bank Imposter Scam [Ad content from Zelle],Vox,News & Politics,25,2023-07-28,20:30:04,1887,109078,164,214
